id,text,query
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_200_36","Page 201 of 261 
 
that could adversely affect the integrity of such an area, 
either directly or indirectly, by substantially changing its 
ecological features, structures, and functions acros s its 
whole area, and over the long term, so that habitat, its 
population levels, and the particular species that make the 
habitat important cannot be sustained.",long term ecological damage habitat sustainability
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_85_35","20(3)  
Disclosure of the Secretarial Audit Report of the listed entity 
and the material subsidiaries in the Annual Report 
24A(1)  
Submission of Annual Secretarial Compliance Report 24A(2)  
Whether “Corporate Governance Report” disclosed in 
Annual Report 
34(3) read with 
para C of 
Schedule V 
 
Note 
1 In the column “Compliance Status”, compliance or non-compliance may be indicated by Yes/No/N.A.. For 
example, if the Board has been composed in accordance with the requirements of LODR Regulations, 
""Yes"" may be indicated. Similarly, in case the Listed Entity has no related party transactions, the words 
“N.A.” may be indicated. 
2 If status is “No” details of non-compliance may be given here. 
3 If the Listed Entity would like to provide any other information the same may be indicated  here. 
 
Name & Designation 
 
Company Secretary / Compliance Officer / Managing Director / CEO / CFO","""corporate governance report disclosure"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_88_14,"b. Attention of investors to be drawn to instruction that only retail individual investors can bid at 
Cut-off 
3. Issue Structure highlighting for different category of investors (Retail, Non Institutional and QIBs) 
a. Number of equity shares (reservation if applicable) 
b. Percentage of Issue available for allotment/allocation 
c. Basis of allocation in case of oversubscription 
d. Mode of allotment","""issue structure for different investor categories"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_102_38","comprehensive income / loss of its associates and joint ventures for the quarter ended 
________ and for the period from_____ to______ (“the Statement”), being submitted by the 
Parent pursuant to the requirement of Regulation 33 of the SEBI (Listing Obligations and 
Disclosure Requirements) Regulations, 2015, as amended43. Attention is drawn to the fact 
that the consolidated figures for the corresponding quarter ended ____ and the 
corresponding period from _____to______, as reported in these financial results have been 
approved by the Parent’s Board of Directors, but have not been subjected to review44.  
 
2. This Statement, which is the responsibility of the Parent’s Management and approved by 
the Parent’s Board of Directors, has been prepared in accordance with the recognition and 
measurement principles laid down in Indian Accounting Standard 34 “Interim Financial 
Reporting” (“Ind AS 34”), prescribed under Section 133 of the Companies Act, 2 013, and","""comprehensive income loss associates joint ventures quarterly financial results"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_21_6,"with any other SEBI registered SCSBs. Such account shall be used solely  for the 
purpose of making application in public issues and clear demarcated funds should 
be available in such account for ASBA applications.17 
3.5. An SCSB shall identify its Designated Branches (DBs) at which an investor shall 
submit ASBA and shall also identify the Controlling Branch (CB) which shall act as a 
coordinating branch for the Registrar to the Issue, Stock Exchanges and Merchant 
Bankers. The SCSB, its DBs and CB shall continue to act as such, for all public and 
rights issues to which ASBA facility is  applicable. The SCSB shall communicate the 
following details to Stock Exchanges for making it available on their respective 
websites. These details shall also be made available by the SCSB on its website:18 
3.5.1. Name and address of the SCSB; 
3.5.2. Addresses of DBs an d CB and other details such as telephone number, fax 
number and email ids;","""SEBI SCSB ASBA regulations"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_29_36,"facility to make application using UPI. 
5.2. For this purpose, all SCSBs shall undertake necessary certification with NPCI. 
5.3. Certify to SEBI about readiness to provide facility to investor to make application 
using UPI as an alternate payment mechanism, as per the format specified in 
Annexure VII. 
6. An indicative process flow for applications in public issue submitte d by retail individual 
investor is placed at Annexure XV. 
7. Validation by Depositories 
                                              
 
52 SEBI Circular No. SEBI/HO/CFD/DIL2/CIR/P/2022/45 dated April 05, 2022 
Institutional 
Buyer (QIB) 
facility is provided 
by the SCSB. 
 
For such 
applications, the 
existing process of 
uploading of bid and 
blocking of funds in 
investors account by 
the SCSB would 
continue.  
provided by 
some of the 
brokers.  
Application-cum 
Bidding form with 
any of the 
intermediary, along 
the details of his/her 
bank account for 
blocking of funds. 
For such","""SEBI UPI payment mechanism for public issue applications"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_114_46","in this  regard except for the disclosures relating to Pillar 3 disclosure as at _________, 
including leverage ratio and liquidity coverage ratio under Basel III Capital Regulations as 
have been disclosed on the Bank's website and in respect of which a link has been provided 
in the Financial Results and have not been audited by us; and  
ii. give a true and fair view in conformity with the recognition and measurement principles laid 
down in the applicable accounting standards, RBI guidelines and other accounting principles 
generally accepted in India of the net profit/ loss 71 and other financial information for the 
quarter ended …… (date of the quarter end) as well as the year to date results for the period 
from …to ………  
Basis for Opinion  
We conducted our audit in accordance with the Standards on Auditing (SAs) specified under section 
143(10) of the Companies Act, 2013. (“the Act”)/ issued by the Institute of Chartered Accountants of","""audit report annual financial results"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_40_27","as considered appropriate. Anything mentioned in the Guidance Note shall not be 
construed as interpretation of provisions of the LODR Regulations or any other law. 
***** 
                                                           
28SEBI/HO/CFD/CMD/CIR/P/2017/004 dated January 5, 2017","""SEBI LODR Regulations Guidance Note"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_259_48","64.   SEBI/HO/CFD/CMD2/
CIR/P/2022/62 
Relaxation from compliance with certain provisions 
of the SEBI (Listing Obligations and Disclosure 
Requirements) Regulations, 2015 
May 13, 2022 
65.  SEBI/HO/CFD/PoD-
1/P/CIR/2022/92 
Disclosure of holdi ng of specified securities and 
Holding of specified securities in dematerialized 
form 
June 30, 2022 
66.  
SEBI/HO/CFD/PoD-
2/P/CIR/2023/4 
Relaxation from compliance with certain provisions 
of the SEBI (Listing Obligations and Disclosure 
Requirements) Regulations, 2015 
January 5, 
2023 
67.  SEBI/HO/CFD/PoD2/P
/CIR/2023/18 Manner of achieving minimum public shareholding February 3, 
2023 
68.  SEBI/HO/CFD/PoD2/
CIR/P/2023/120 
Master circular for compliance with the provisions 
of the Securities and Exchange Board  of  India 
(Listing  Obligations  and  Disclosure  
Requirements)  Regulations, 2015by listed entities 
July 11, 2023 
69.  
SEBI/HO/CFD/CFD-
SEC-
2/P/CIR/2023/122 
BRSR  Core –Framework  for assurance  and ESG","""SEBI listing obligations and disclosure requirements regulations"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_253_30","Page 254 of 261 
 
ANNEXURE 24 
 
FORMAT FOR DISCLOSURE OF COMMODITY RISKS BY LISTED ENTITIES 
 
1. Risk management policy of the listed entity with respect to commodities including through 
hedging (Such polic y shall take into account total exposure of the entity towards 
commodities, commodity risks faced by the entity, hedged exposures, etc. as specified 
below) 
 
2. Exposure of the listed entity to commodity and commodity risks faced by the entity 
throughout the year: 
a. Total exposure of the listed entity to commodities in INR 
b. Exposure of the listed entity to various commodities: 
 
Commodity 
Name 
Exposure 
in INR 
towards 
the 
particular 
commodity 
Exposure 
in Quantity 
terms 
towards 
the 
particular 
commodity 
% of such exposure hedged through commodity 
derivatives 
Domestic 
market 
International market Total 
 
OTC 
 
Exchange 
 
OTC 
 
Exchange 
        
        
 
c. Commodity risks faced by the listed entity during the year and how they have been 
managed.","""commodity risk disclosure listed entities"""
